City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,bereznik,62.8551,42.7072,-1.01,84,90,3.78,RU,1731361584
326,simplicio mendes,-7.8539,-41.9103,21.8,88,100,1.74,BR,1731361585
327,watford city,47.8022,-103.2832,6.92,53,31,7.72,US,1731361586
328,mount isa,-20.7333,139.5,28.87,37,75,0.51,AU,1731361588
329,severo-yeniseyskiy,60.3725,93.0408,-15.14,95,74,2.6,RU,1731361589
330,valle de la pascua,9.2155,-66.0073,28.76,61,97,1.18,VE,1731361590
331,jaguaribe,-5.8906,-38.6219,30.49,44,100,6.98,BR,1731361591
332,vranje,42.5514,21.9003,2.37,94,96,1.61,RS,1731361593
333,perry,37.2506,-83.1999,16.21,57,0,3.3,US,1731361594
334,carrick-on-suir,52.3492,-7.4131,8.64,91,73,0.52,IE,1731361595
335,juneau,58.3019,-134.4197,5.0,95,75,2.06,US,1731361506
336,okha,53.5739,142.9478,-3.93,81,100,6.17,RU,1731361598
337,vera,-29.4593,-60.2126,17.13,81,100,0.99,AR,1731361599
338,laojunmiao,39.8333,97.7333,2.41,53,80,2.42,CN,1731361600
339,tandalti,13.0167,31.8667,29.21,29,59,8.55,SD,1731361601
340,thunder bay,48.4001,-89.3168,1.99,64,75,5.66,CA,1731361591
341,kone,-21.0595,164.8658,28.71,49,11,3.05,NC,1731361604
342,aqadyr,48.2553,72.8483,-11.82,98,99,2.17,KZ,1731361607
343,cabedelo,-6.9811,-34.8339,27.37,76,91,2.43,BR,1731361608
344,wagar,16.1525,36.2032,25.81,75,1,8.44,SD,1731361609
345,turpan,42.9333,89.1667,7.13,63,1,0.64,CN,1731361611
346,trairi,-3.2778,-39.2689,25.59,77,100,4.95,BR,1731361494
347,ostersund,63.1792,14.6357,3.25,95,20,4.63,SE,1731361613
348,bridgewater,44.3835,-64.5155,12.28,91,100,5.14,CA,1731361614
349,keflavik,64.0049,-22.5624,11.24,100,100,16.98,IS,1731361616
